Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Watch The Throne","JAY-Z","Watch The Throne","Favorite Albums","Album","00602527809076","0OcMap99vLEeGkBCfCwRwS"
"ATLiens","Outkast","ATLiens","Favorite Albums","Album","730082602921","1IaBCF26OjgYwUCEPaIyC0"
"The Blueprint (Explicit Version)","JAY-Z","The Blueprint (Explicit Version)","Favorite Albums","Album","00602517245808","69CmkikTHkGKdkrUZTtyWl"
"LONG.LIVE.A$AP (Deluxe Version)","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)","Favorite Albums","Album","886443810112","6rzMufuu8sLkIizM4q9c7J"
"DMVP","Sherifflazone","DMVP","Favorite Albums","Album","5034644377285","4MUbScyD1gUglNpmTntc4x"
"Wave Pack","Max B","Wave Pack","Favorite Albums","Album","194491978655","4QcLWVwAJqZ2fxAOL9Xk3g"
"SAVAGE MODE II","21 Savage","SAVAGE MODE II","Favorite Albums","Album","886448747697","6wTyGUWGCilBFZ837k5aRi"
"Doggystyle","Snoop Dogg","Doggystyle","Favorite Albums","Album","659783313694","5IFOummNcGXY3qCBWRchqP"
"OG SAN I","Deen Burbigo","OG SAN I","Favorite Albums","Album","3616557264467","3rXDtbpeaGTeq0GXhGLMiE"
"Cercle vertueux","Deen Burbigo","Cercle vertueux","Favorite Albums","Album","00602435012636","4Oo3WoU54dUpa22fYPsYDi"
"Slime Season","Young Thug","Slime Season","Favorite Albums","Album","075679630346","3KSeRpEslZsZGRnJHe5nXt"
"Graduation","Kanye West","Graduation","Favorite Albums","Album","00602577027864","4SZko61aMnmgvNhfhgTuD3"
"Metallica","Metallica","Metallica","Favorite Albums","Album","00731451002229","2Kh43m04B1UkVcpcRa1Zug"
"Annie's Mix '85 (Special English Version)","Ann Lewis","Annie's Mix '85 (Special English Version)","Favorite Albums","Album","4988002004706","53yxgW3qrScnZJPfGqK0S5"
"Superunknown (20th Anniversary)","Soundgarden","Superunknown (20th Anniversary)","Favorite Albums","Album","00602537875580","4K8bxkPDa5HENw0TK7WxJh"
"Mr. Morale & The Big Steppers","Kendrick Lamar","Mr. Morale & The Big Steppers","Favorite Albums","Album","00602448038708","79ONNoS4M9tfIA1mYLBYVX"
"Lil Uzi Vert vs. The World","Lil Uzi Vert","Lil Uzi Vert vs. The World","Favorite Albums","Album","075679909244","7mgdTKTCdfnLoa1HXHvLYM"
"Nevermind (Remastered)","Nirvana","Nevermind (Remastered)","Favorite Albums","Album","00602527856865","2UJcKiJxNryhL050F5Z1Fk"
"Man On The Moon: The End Of Day (Int'l Version)","Kid Cudi","Man On The Moon: The End Of Day (Int'l Version)","Favorite Albums","Album","00602527188386","6oPPKtAwNNlkW4wwHfQDfM"
"GNX","Kendrick Lamar","GNX","Favorite Albums","Album","00602475681120","0hvT3yIEysuuvkK73vgdcW"
"In Rainbows","Radiohead","In Rainbows","Favorite Albums","Album","634904032463","5vkqYmiPBYLaalcmjujWxK"
"ESCAPE PLAN / MAFIA","Travis Scott","ESCAPE PLAN / MAFIA","Favorite Albums","Album","886449721696","5FB5E1fwFeVqpz2CCzRSve"
